PassengerId,Survived,Pclass,Surname,M/F,Age,Family,Ticket,Fare,Embarked
1,0,1,N,1,64,0,693,26,S
2,0,1,C,1,33,0,695,5,S
3,1,3,B,1,32,0,1601,56.4958,S
4,0,3,L,1,28,0,1601,56.4958,S
5,1,3,L,1,26,0,1601,56.4958,S
6,1,3,F,1,,0,1601,56.4958,S
7,1,3,L,1,,0,1601,56.4958,S
8,0,3,L,1,,0,1601,56.4958,S
9,1,3,C,1,32,0,1601,56.4958,S
10,1,2,C,0,28,1,2003,26,S
11,0,3,A,1,18,0,2223,8.3,S
12,1,3,L,1,22,0,2620,7.225,C
13,0,3,B,1,40,0,2623,7.225,C
14,0,3,L,1,,0,2624,7.225,C
15,1,3,T,1,0.42,1,2625,8.5167,C
16,1,3,M,0,,0,2626,7.2292,C
17,0,3,A,0,17,0,2627,14.4583,C
18,0,3,Y,1,,0,2627,14.4583,C
19,0,3,Y,1,45.5,0,2628,7.225,C
20,0,3,R,1,,0,2629,7.2292,C
21,0,3,E,1,,0,2631,7.225,C
22,0,3,T,1,,0,2641,7.2292,C
23,0,3,Y,1,,0,2647,7.225,C
24,0,3,B,1,20,0,2648,4.0125,C
25,1,3,M,0,,0,2649,7.225,C
26,1,3,T,0,29,2,2650,15.2458,C
27,1,3,N,0,14,1,2651,11.2417,C
28,1,3,N,1,12,1,2651,11.2417,C
29,1,3,N,0,1,2,2653,15.7417,C
30,1,3,N,1,20,2,2653,15.7417,C
31,0,3,Y,1,27,1,2659,14.4542,C
32,1,3,Y,0,15,1,2659,14.4542,C
33,1,3,M,1,,2,2661,15.2458,C
34,1,3,M,1,,2,2661,15.2458,C
35,0,3,S,1,,2,2662,21.6792,C
36,1,3,B,1,20,0,2663,7.2292,C
37,0,3,B,1,,0,2664,7.225,C
38,0,3,Z,0,14.5,1,2665,14.4542,C
39,0,3,Z,0,,1,2665,14.4542,C
40,1,3,B,0,5,3,2666,19.2583,C
41,1,3,B,0,0.75,3,2666,19.2583,C
42,1,3,B,0,0.75,3,2666,19.2583,C
43,1,3,B,0,24,3,2666,19.2583,C
44,1,3,N,0,15,0,2667,7.225,C
45,1,3,P,0,,2,2668,22.3583,C
46,1,3,P,0,,2,2668,22.3583,C
47,0,3,S,1,22,0,2669,7.2292,C
48,0,3,S,1,,0,2671,7.2292,C
49,0,3,S,1,25,0,2672,7.225,C
50,0,3,E,1,,0,2674,7.225,C
51,1,3,M,1,,0,2677,7.2292,C
52,0,3,B,0,,2,2678,15.2458,C
53,0,3,B,0,9,2,2678,15.2458,C
54,0,3,C,1,26,1,2680,14.4542,C
55,0,3,L,1,34.5,0,2683,6.4375,C
56,0,3,I,1,30,0,2685,7.2292,C
57,0,3,D,1,,0,2686,7.2292,C
58,1,3,A,0,13,0,2687,7.2292,C
59,0,3,C,0,,1,2689,14.4583,C
60,0,3,E,1,17,2,2690,7.2292,C
61,0,3,B,0,45,1,2691,14.4542,C
62,0,3,B,0,18,1,2691,14.4542,C
63,0,3,H,1,23.5,0,2693,7.2292,C
64,0,3,A,1,30,0,2694,7.225,C
65,0,3,E,1,15,2,2695,7.2292,C
66,0,3,N,1,28.5,0,2697,7.2292,C
67,1,3,A,1,26,0,2699,18.7875,C
68,0,3,H,1,11,0,2699,18.7875,C
69,0,3,K,1,,0,2700,7.2292,C
70,1,2,B,1,32,1,2908,26,S
71,1,2,B,0,19,1,2908,26,S
72,1,2,F,0,29,1,2926,26,S
73,0,3,P,1,,0,3411,8.7125,C
74,0,3,B,1,29,1,3460,7.0458,S
75,0,3,A,1,26,0,3474,7.8875,S
76,0,3,L,1,,4,4133,25.4667,S
77,0,3,L,0,,4,4133,25.4667,S
78,0,3,L,0,,4,4133,25.4667,S
79,0,3,L,0,,4,4133,25.4667,S
80,1,3,T,0,63,0,4134,9.5875,S
81,0,3,L,0,37,0,4135,9.5875,S
82,0,3,J,0,20,1,4136,9.825,S
83,0,3,J,0,21,1,4137,9.825,S
84,1,3,T,0,18,0,4138,9.8417,S
85,0,3,O,1,42,1,4579,8.4042,S
86,0,1,C,1,47,0,5727,25.5875,S
87,0,3,O,1,20,0,6563,9.225,S
88,0,3,O,1,23,0,7267,9.225,S
89,0,3,O,1,16,0,7534,9.2167,S
90,0,3,G,1,20,0,7534,9.8458,S
91,0,3,J,1,33,0,7540,8.6542,S
92,0,3,L,1,29,0,7545,9.4833,S
93,0,3,A,0,40,1,7546,9.475,S
94,0,3,D,0,22,0,7552,10.5167,S
95,0,3,S,0,22,0,7553,9.8375,S
96,1,3,D,1,45,0,7598,8.05,S
97,0,3,G,1,32,0,8471,8.3625,S
98,0,3,K,1,21,0,8475,8.4333,S
99,1,3,K,0,,0,9234,7.75,Q
100,0,2,T,0,27,1,11668,21,S
101,0,2,T,1,29,1,11668,21,S
102,1,1,B,1,37,2,11751,52.5542,S
103,1,1,B,0,47,2,11751,52.5542,S
104,1,1,N,0,19,2,11752,26.2833,S
105,1,1,K,1,42,1,11753,52.5542,S
106,1,1,D,0,48,1,11755,39.6,C
107,1,1,H,1,25,1,11765,55.4417,C
108,1,1,H,0,24,0,11767,83.1583,C
109,1,1,P,0,56,1,11767,83.1583,C
110,1,1,A,0,53,2,11769,51.4792,S
111,0,1,K,1,58,0,11771,29.7,C
112,1,1,M,1,,0,11774,29.7,C
113,1,1,B,0,32,0,11813,76.2917,C
114,1,1,B,0,19,1,11967,91.0792,C
115,1,1,B,1,25,1,11967,91.0792,C
116,0,2,G,1,34,0,12233,13,S
117,0,3,K,1,,0,12460,7.75,Q
118,1,1,P,0,30,0,12749,93.5,S
119,1,1,H,0,52,2,12749,93.5,S
120,0,1,R,1,36,0,13049,40.125,C
121,1,1,S,1,56,0,13213,35.5,C
122,1,1,S,1,32,0,13214,30.5,C
123,1,1,A,0,63,1,13502,77.9583,S
124,1,1,L,0,21,0,13502,77.9583,S
125,1,1,H,0,51,1,13502,77.9583,S
126,0,1,S,1,50,1,13507,55.9,S
127,1,1,S,0,39,1,13507,55.9,S
128,0,1,M,1,65,0,13509,26.55,S
129,1,1,F,1,60,2,13567,79.2,C
130,1,1,F,0,22,2,13568,49.5,C
131,1,3,O,0,,0,14311,7.75,Q
132,1,3,K,0,,0,14312,7.75,Q
133,1,3,J,0,,0,14313,7.75,Q
134,0,3,G,1,22,0,14973,8.05,S
135,1,1,S,0,40,2,16966,134.5,C
136,1,1,B,0,41,0,16966,134.5,C
137,1,1,H,1,,0,16988,30,S
138,1,1,F,0,,0,17421,110.8833,C
139,1,1,T,1,17,2,17421,110.8833,C
140,1,1,T,0,39,2,17421,110.8833,C
141,0,1,T,1,49,2,17421,110.8833,C
142,1,1,G,1,49,1,17453,89.1042,C
143,1,1,G,0,,1,17453,89.1042,C
144,0,1,M,1,54,0,17463,51.8625,S
145,1,1,K,0,,1,17464,51.8625,S
146,1,1,L,0,49,0,17465,25.9292,S
147,1,1,S,0,48,0,17466,25.9292,S
148,1,1,D,1,31,1,17474,57,S
149,1,1,D,0,17,1,17474,57,S
150,0,1,S,1,56,0,17764,30.6958,C
151,1,1,B,0,26,0,19877,78.85,S
152,0,1,C,1,36,1,19877,78.85,S
153,0,1,M,1,44,2,19928,90,Q
154,1,1,M,0,33,1,19928,90,Q
155,1,1,H,1,38,1,19943,90,S
156,1,1,H,0,35,1,19943,90,S
157,1,1,W,1,,0,19947,35.5,S
158,0,1,F,1,19,5,19950,263,S
159,1,1,F,0,23,5,19950,263,S
160,1,1,F,0,24,5,19950,263,S
161,0,1,F,1,64,5,19950,263,S
162,1,1,A,1,48,0,19952,26.55,S
163,0,1,R,1,38,0,19972,0,S
164,1,1,S,1,,0,19988,30.5,S
165,1,1,T,0,,1,19996,52,S
166,1,1,T,1,48,1,19996,52,S
167,0,3,G,1,51,0,21440,8.05,S
168,1,1,M,0,15,1,24160,211.3375,S
169,1,1,A,0,29,0,24160,211.3375,S
170,1,1,R,0,43,1,24160,211.3375,S
171,1,2,Q,0,33,2,26360,26,S
172,1,2,Q,0,2,2,26360,26,S
173,0,2,H,1,44,1,26707,26,S
174,1,1,B,1,80,0,27042,30,S
175,1,2,W,0,32.5,0,27267,13,S
176,1,2,B,0,36,0,27849,13,S
177,0,2,G,1,21,1,28134,11.5,S
178,0,2,S,1,35,0,28206,10.5,S
179,0,2,O,1,39,0,28213,13,S
180,1,2,D,0,34,2,28220,32.5,S
181,0,2,M,1,30,0,28228,13,S
182,0,2,M,1,46,0,28403,26,S
183,0,2,D,1,54,0,28403,26,S
184,0,2,C,1,19,0,28424,13,S
185,0,2,B,1,23,0,28425,13,S
186,1,2,B,0,36,0,28551,13,S
187,0,2,G,1,34,1,28664,21,S
188,0,2,P,1,19,0,28665,10.5,S
189,0,2,M,1,54,0,29011,14,S
190,1,2,W,0,4,2,29103,23,S
191,0,2,H,1,23,3,29104,11.5,S
192,1,2,H,0,54,4,29105,23,S
193,1,2,R,1,3,2,29106,18.75,S
194,1,2,R,0,24,5,29106,18.75,S
195,1,2,R,1,0.83,2,29106,18.75,S
196,0,2,B,1,18,0,29108,11.5,S
197,1,2,B,0,40,2,29750,39,S
198,0,2,B,1,60,2,29750,39,S
199,0,2,E,1,23,0,29751,13,S
200,0,2,R,1,34,1,31027,21,S
201,1,2,R,0,30,3,31027,21,S
202,0,2,G,1,26,0,31028,10.5,S
203,1,2,S,0,40,0,31418,13,S
204,1,1,D,1,4,2,33638,81.8583,S
205,1,2,T,0,27,0,34218,10.5,S
206,1,1,N,0,31,1,35273,113.275,C
207,1,1,N,0,23,1,35273,113.275,C
208,0,1,N,1,58,2,35273,113.275,C
209,0,1,W,1,21,1,35281,77.2875,S
210,0,1,W,1,54,1,35281,77.2875,S
211,1,3,G,0,16,0,35851,7.7333,Q
212,1,3,M,0,,0,35852,7.7333,Q
213,0,3,S,1,,0,36209,7.725,Q
214,0,3,M,1,,0,36568,15.5,Q
215,0,3,G,1,25,0,36864,7.7417,Q
216,0,3,K,1,,0,36865,7.7375,Q
217,1,3,M,0,,0,36866,7.7375,Q
218,1,1,W,0,31,2,36928,164.8667,S
219,1,1,W,0,45,2,36928,164.8667,S
220,1,1,E,0,54,1,36947,78.2667,C
221,1,1,S,0,52,1,36947,78.2667,C
222,0,1,S,1,61,0,36963,32.3208,S
223,0,1,W,1,47,0,36967,34.0208,S
224,0,1,H,1,45,1,36973,83.475,S
225,1,1,H,0,35,1,36973,83.475,S
226,0,3,B,1,21,0,54636,16.1,S
227,0,3,W,1,28.5,0,54636,16.1,S
228,0,3,H,1,,1,65303,19.9667,S
229,0,3,H,1,,1,65304,19.9667,S
230,1,3,J,1,,0,65306,8.1125,S
231,1,1,C,0,30,0,110152,86.5,S
232,1,1,M,0,16,0,110152,86.5,S
233,1,1,R,0,33,0,110152,86.5,S
234,0,1,T,1,52,2,110413,79.65,S
235,1,1,T,0,39,2,110413,79.65,S
236,1,1,T,0,18,2,110413,79.65,S
237,0,1,P,1,47,0,110465,52,S
238,0,1,C,1,,0,110465,52,S
239,1,1,B,1,28,0,110564,26.55,S
240,1,1,W,0,60,1,110813,75.25,C
241,0,1,V,1,61,0,111240,33.5,S
242,0,1,G,1,47,0,111320,38.5,S
243,1,1,H,0,16,1,111361,57.9792,C
244,1,1,H,0,44,1,111361,57.9792,C
245,1,1,B,1,26,0,111369,30,C
246,1,1,H,1,35,0,111426,26.55,C
247,1,1,B,1,,0,111427,26.55,S
248,1,1,R,1,45,0,111428,26.55,S
249,0,1,A,1,39,0,112050,0,S
250,0,1,P,1,,0,112052,0,S
251,1,1,G,0,19,0,112053,30,S
252,0,1,F,1,,0,112058,0,S
253,0,1,H,1,40,0,112059,0,S
254,1,1,B,1,40,0,112277,31,C
255,0,1,B,1,,0,112379,39.6,C
256,0,1,K,1,,0,113028,26.55,S
257,0,1,P,1,45.5,0,113043,28.5,S
258,0,1,B,1,45,0,113050,26.55,S
259,0,1,F,1,30,0,113051,27.75,C
260,1,1,D,1,51,0,113055,26.55,S
261,0,1,S,1,,0,113056,26,S
262,0,1,C,1,28,0,113059,47.1,S
263,0,1,L,1,29,0,113501,30,S
264,0,1,W,1,27,2,113503,211.5,C
265,1,1,C,0,,1,113505,55,S
266,1,1,B,0,22,1,113505,55,S
267,0,1,O,1,65,1,113509,61.9792,C
268,0,1,W,1,,0,113510,35,S
269,0,1,S,1,62,0,113514,26.55,S
270,1,1,I,0,38,0,113572,80,
271,1,1,S,0,62,0,113572,80,
272,1,1,C,1,36,3,113760,120,S
273,1,1,C,0,14,3,113760,120,S
274,1,1,C,0,36,3,113760,120,S
275,1,1,C,1,11,3,113760,120,S
276,0,1,R,1,,0,113767,50,S
277,0,1,M,1,19,1,113773,53.1,S
278,1,1,P,0,22,1,113776,66.6,S
279,0,1,P,1,29,1,113776,66.6,S
280,0,1,A,0,2,3,113781,151.55,S
281,1,1,A,1,0.92,3,113781,151.55,S
282,0,1,A,0,25,3,113781,151.55,S
283,1,1,C,0,22,0,113781,151.55,S
284,1,1,B,0,58,0,113783,26.55,S
285,0,1,B,1,45,0,113784,35.5,S
286,1,1,P,1,52,0,113786,30.5,S
287,0,1,M,1,55,0,113787,30.5,S
288,1,1,S,1,28,0,113788,35.5,S
289,0,1,H,1,42,1,113789,52,S
290,1,1,H,0,35,1,113789,52,S
291,0,1,S,1,56,0,113792,26.55,S
292,1,1,S,1,34,0,113794,26.55,S
293,0,1,H,1,,0,113796,42.4,S
294,0,1,C,1,,0,113798,31,S
295,1,1,S,0,30,0,113798,31,C
296,0,1,W,1,60,0,113800,26.55,S
297,1,1,F,0,35,1,113803,53.1,S
298,0,1,F,1,37,1,113803,53.1,S
299,1,1,D,1,27,0,113804,30.5,S
300,1,1,C,1,27,1,113806,53.1,S
301,1,1,C,0,33,1,113806,53.1,S
302,0,1,W,1,62,0,113807,26.55,S
303,0,2,M,1,27,0,211536,13,S
304,0,2,N,1,28,0,218629,13.5,S
305,0,2,K,1,57,0,219533,12.35,Q
306,0,2,B,1,27,0,220367,13,S
307,1,2,H,0,24,3,220845,65,S
308,1,2,H,0,48,3,220845,65,S
309,1,2,K,0,45,0,223596,13.5,S
310,1,2,K,0,,0,226593,12.35,Q
311,1,2,A,0,36,1,226875,26,S
312,1,2,W,0,29,1,228414,26,S
313,0,2,F,1,36,0,229236,13,S
314,0,2,N,1,36.5,2,230080,26,S
315,1,2,N,1,3,2,230080,26,S
316,1,2,N,1,2,2,230080,26,S
317,1,2,B,1,1,3,230136,39,S
318,1,2,B,0,4,3,230136,39,S
319,1,2,P,0,50,1,230433,26,S
320,1,2,S,0,25,1,230433,26,S
321,1,2,R,0,28,0,230434,13,S
322,1,2,D,0,34,1,231919,23,S
323,1,2,D,0,18,1,231919,23,S
324,0,2,A,1,18,0,231945,11.5,S
325,0,2,T,1,23,0,233639,13,S
326,0,2,G,1,24,0,233866,13,S
327,0,2,M,1,48,0,234360,13,S
328,1,2,P,0,32,0,234604,13,S
329,0,2,B,1,25,0,234686,13,S
330,1,2,S,0,30,0,234818,12.35,Q
331,0,2,F,1,18,0,236171,13,S
332,1,2,B,0,42,0,236852,13,S
333,0,2,B,1,25,1,236853,26,S
334,0,2,S,1,59,0,237442,13.5,S
335,0,2,J,1,47,0,237565,15,S
336,1,2,D,0,28,0,237668,13,S
337,0,2,F,0,38,0,237671,13,S
338,1,2,N,0,14,1,237736,30.0708,C
339,0,2,N,1,32.5,1,237736,30.0708,C
340,1,2,C,0,25,2,237789,30,S
341,1,2,H,1,42,0,237798,13,S
342,0,2,P,1,,0,239853,0,S
343,0,2,C,1,,0,239853,0,S
344,0,2,C,1,,0,239853,0,S
345,0,2,F,1,,0,239854,0,S
346,0,2,K,1,,0,239855,0,S
347,0,2,W,1,,0,239856,0,S
348,0,2,F,1,35,0,239865,26,S
349,0,2,G,1,16,0,239865,26,S
350,1,2,T,0,28,0,240929,12.65,S
351,0,2,J,1,42,1,243847,27,S
352,1,2,J,0,24,3,243847,27,S
353,1,2,G,0,34,0,243880,13,S
354,0,2,C,1,54,1,244252,26,S
355,0,2,C,0,44,1,244252,26,S
356,1,2,W,1,31,0,244270,13,S
357,0,2,P,1,23,0,244278,10.5,S
358,0,2,B,1,42,0,244310,13,S
359,0,2,S,1,27,0,244358,26,S
360,0,2,S,1,25,0,244361,13,S
361,0,2,K,1,34,1,244367,26,S
362,1,2,K,0,24,1,244367,26,S
363,1,2,W,1,,0,244373,13,S
364,1,2,B,1,34,0,248698,13,S
365,1,2,H,0,55,0,248706,16,S
366,0,2,M,1,39,0,248723,13,S
367,1,2,L,0,,0,248727,33,S
368,1,2,H,0,6,1,248727,33,S
369,0,2,H,1,28,1,248727,33,S
370,0,2,C,1,52,0,248731,13.5,S
371,1,2,B,0,24,0,248733,13,S
372,1,2,C,1,0.83,2,248738,29,S
373,1,2,C,0,22,2,248738,29,S
374,0,2,C,1,28,0,248740,13,S
375,0,2,Y,0,24,0,248747,13,S
376,0,2,H,1,50,0,250643,13,S
377,1,2,M,0,41,1,250644,19.5,S
378,1,2,M,0,13,1,250644,19.5,S
379,0,2,G,1,30,0,250646,13,S
380,0,2,G,1,52,0,250647,13,S
381,0,2,P,1,34,0,250647,13,S
382,1,2,S,0,30,0,250648,13,S
383,1,2,H,0,24,2,250649,14.5,S
384,1,2,H,1,0.67,2,250649,14.5,S
385,0,2,L,0,26,2,250651,26,S
386,1,2,S,0,18,2,250652,13,S
387,0,2,H,1,30,0,250653,13,S
388,1,2,P,0,19,0,250655,26,S
389,0,2,M,1,39,0,250655,26,S
390,1,3,M,1,,0,312991,7.775,S
391,0,3,B,1,21,0,312992,7.775,S
392,0,3,R,1,,0,312993,7.775,S
393,0,3,S,1,,0,315037,8.6625,S
394,0,3,Z,1,29,0,315082,7.875,S
395,0,3,C,0,30,0,315084,8.6625,S
396,0,3,C,1,17,0,315086,8.6625,S
397,0,3,D,1,42,0,315088,8.6625,S
398,0,3,C,1,38,0,315089,8.6625,S
399,0,3,C,1,17,0,315090,8.6625,S
400,0,3,C,1,17,0,315093,8.6625,S
401,0,3,O,1,20,0,315094,8.6625,S
402,0,3,O,0,20,0,315096,8.6625,S
403,0,3,P,1,21,0,315097,8.6625,S
404,1,3,L,1,27,0,315098,8.6625,S
405,0,3,K,1,26,2,315151,8.6625,S
406,1,3,K,0,4,2,315153,22.025,S
407,0,3,K,1,,0,323592,7.25,S
408,0,3,B,1,19,0,323951,8.05,S
409,0,3,B,1,22,0,324669,8.05,S
410,0,3,M,1,,0,330877,8.4583,Q
411,0,3,O,0,,0,330909,7.6292,Q
412,1,3,O,0,,0,330919,7.8292,Q
413,1,3,M,0,15,0,330923,8.0292,Q
414,1,3,M,0,,0,330931,7.8792,Q
415,1,3,M,0,,0,330932,7.7875,Q
416,0,3,P,0,,0,330935,8.1375,Q
417,1,3,D,0,19,0,330958,7.8792,Q
418,1,3,O,0,,0,330959,7.8792,Q
419,0,3,O,1,,0,330979,7.8292,Q
420,1,3,M,0,,0,330980,7.8792,Q
421,0,3,O,1,,0,334912,7.7333,Q
422,0,3,C,1,31,0,335097,7.75,Q
423,1,3,G,0,,0,335677,7.75,Q
424,0,3,D,1,65,0,336439,7.75,Q
425,0,3,A,1,26,0,341826,8.05,S
426,0,3,S,1,24.5,0,342826,8.05,S
427,0,3,M,0,,0,343095,8.05,S
428,1,3,S,0,21,0,343120,7.65,S
429,0,3,C,1,24,0,343275,8.05,S
430,0,3,C,1,29,0,343276,8.05,S
431,0,3,N,1,61,0,345364,6.2375,S
432,1,3,D,0,36,1,345572,17.4,S
433,0,3,V,0,31,1,345763,18,S
434,0,3,V,0,18,2,345764,18,S
435,0,3,V,1,16,2,345764,18,S
436,0,3,V,1,47,0,345765,9,S
437,0,3,W,1,22,0,345767,9,S
438,0,3,H,1,20,0,345769,9.5,S
439,0,3,V,1,28,0,345770,9.5,S
440,0,3,V,0,10,2,345773,24.15,S
441,0,3,V,1,36,2,345773,24.15,S
442,0,3,V,0,30,2,345773,24.15,S
443,1,3,D,1,30,0,345774,9.5,S
444,0,3,V,1,,0,345777,9.5,S
445,0,3,D,1,16,0,345778,9.5,S
446,1,3,S,1,29,0,345779,9.5,S
447,0,3,V,1,33,0,345780,9.5,S
448,0,3,L,1,24,0,345781,9.5,S
449,0,3,V,1,28,0,345783,9.5,S
450,0,3,S,0,2,1,347054,10.4625,S
451,0,3,S,0,29,2,347054,10.4625,S
452,0,3,S,1,74,0,347060,7.775,S
453,0,3,E,1,45,0,347061,6.975,S
454,0,3,J,1,33,0,347062,7.775,S
455,0,3,J,1,31,0,347063,7.775,S
456,0,3,W,1,51,0,347064,7.75,S
457,0,3,L,1,29,0,347067,7.775,S
458,0,3,B,1,26,0,347068,7.775,S
459,0,3,G,1,19,0,347069,7.775,S
460,0,3,L,0,25,0,347071,7.775,S
461,0,3,L,0,45,0,347073,7.75,S
462,0,3,E,1,16,0,347074,7.775,S
463,0,3,P,1,25,1,347076,7.775,S
464,1,3,A,0,38,6,347077,31.3875,S
465,0,3,A,1,9,6,347077,31.3875,S
466,1,3,A,0,5,6,347077,31.3875,S
467,1,3,A,1,3,6,347077,31.3875,S
468,0,3,M,1,18,0,347078,7.75,S
469,0,3,D,0,28,2,347080,14.4,S
470,0,3,D,1,34,2,347080,14.4,S
471,1,3,N,0,22,0,347081,7.75,S
